"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:41 GMT 2019","19","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:43 GMT 2019","20","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:45 GMT 2019","21","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:47 GMT 2019","22","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:49 GMT 2019","23","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:51 GMT 2019","24","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:53 GMT 2019","25","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:55 GMT 2019","26","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:57 GMT 2019","27","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 14:59:59 GMT 2019","28","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
"Date","Repetition","Iterative or Recursive","Opacitor 1","Opacitor 2","array","outputFile","seed","Array Length"
"Sat Jan 26 15:00:01 GMT 2019","29","IterativeBubbleSort","2.2157652242798678","2.2157652242798678","[7, 6, 4, 7, 7, 8, 3, 1, 1, 0]","iterative","920482616","10"
